IMAGE_NAME:imageCompressedCam0_0000917.jpg	X:-0.572776	Y:0.307121	Z:4.25033
IMAGE_NAME:imageCompressedCam0_0000919.jpg	X:0.317835	Y:0.404963	Z:4.41833
IMAGE_NAME:imageCompressedCam0_0000920.jpg	X:-1.0024	Y:0.233511	Z:4.67714
IMAGE_NAME:imageCompressedCam0_0000921.jpg	X:-0.637694	Y:0.254268	Z:4.00659
IMAGE_NAME:imageCompressedCam0_0000922.jpg	X:-0.237614	Y:0.308005	Z:4.021
IMAGE_NAME:imageCompressedCam0_0000926.jpg	X:-1.36024	Y:0.158318	Z:4.83912
IMAGE_NAME:imageCompressedCam0_0000927.jpg	X:-0.784834	Y:0.171142	Z:4.38368
IMAGE_NAME:imageCompressedCam0_0000928.jpg	X:-0.185213	Y:0.165827	Z:4.41833
IMAGE_NAME:imageCompressedCam0_0000929.jpg	X:0.327322	Y:0.179728	Z:4.63833
IMAGE_NAME:imageCompressedCam0_0000930.jpg	X:-1.50217	Y:0.413838	Z:3.27812
IMAGE_NAME:imageCompressedCam0_0000931.jpg	X:-0.649194	Y:0.300531	Z:3.51521
IMAGE_NAME:imageCompressedCam0_0000932.jpg	X:-0.133919	Y:0.296948	Z:3.41846
IMAGE_NAME:imageCompressedCam0_0000934.jpg	X:1.41523	Y:0.561838	Z:3.26853
IMAGE_NAME:imageCompressedCam0_0000934.jpg	X:-2.86434	Y:0.0747846	Z:4.88139
IMAGE_NAME:imageCompressedCam0_0000935.jpg	X:2.36492	Y:0.381402	Z:3.48236
IMAGE_NAME:imageCompressedCam0_0000936.jpg	X:-1.98421	Y:0.0306347	Z:4.75676
IMAGE_NAME:imageCompressedCam0_0000937.jpg	X:-1.37212	Y:0.0863077	Z:4.75676
